Symbol,Name,Options?
ASD,Horizons Australian Dollar Currency ETF,No
AXF,First Asset DEX All Canada Bond Barbell Index ETF,No
AXF.A,First Asset DEX All Canada Bond Barbell Index ETF (Advisor Units),No
BWV,iPath ® CBOE S&P 500 BuyWrite Index ETN,No
BWV.U,iPath ® CBOE S&P 500 BuyWrite Index ETN,No
CAB,iShares Advantaged Canadian Bond Index Fund,No
CAB.A*,iShares Advantaged Canadian Bond Index Fund,No
CBD,iShares Balanced Income CorePortfolio Fund,No
CBD.A*,iShares Balanced Income CorePortfolio Fund,No
CBH,iShares 1-10 Year Laddered Corporate Bond Index Fund,No
CBH.A,iShares 1-10 Year Laddered Corporate Bond Index Fund,No
CBN,iShares Balanced Growth CorePortfolio Fund,No
CBN.A*,iShares Balanced Growth CorePortfolio Fund,No
CBO,iShares 1-5 Year Laddered Corporate Bond Index Fund,No
CBO.A*,iShares 1-5 Year Laddered Corporate Bond Index Fund,No
CBQ,iShares BRIC Index Fund,No
CBQ.A*,iShares BRIC Index Fund,No
CBR,iShares Broad Commodity Index Fund (CAD-Hedged),No
CBR.A*,iShares Broad Commodity Index Fund (CAD-Hedged),No
CDZ,iShares S&P/TSX Canadian Dividend Aristocrats Index Fund,No
CDZ.A*,iShares S&P/TSX Canadian Dividend Aristocrats Index Fund,No
CEW,iShares Equal Weight Banc & Lifeco Fund,No
CEW.A*,iShares Equal Weight Banc & Lifeco Fund,No
CGL,iShares Gold Bullion Fund,Yes
CGL.C,iShares Gold Bullion Fund,No
CGR,iShares Global Real Estate Index Fund,No
CGR.A*,iShares Global Real Estate Index Fund,No
CHB,iShares Advantaged U.S High Yield Bond Index Fund (CAD-Hedged),No
CHB.A*,iShares Advantaged U.S High Yield Bond Index Fund (CAD-Hedged),No
CHI,iShares China All-Cap Index Fund,No
CHI.A*,iShares China All-Cap Index Fund (Advisor Units),No
CIE,iShares International Fundamental Index Fund,No
CIE.A*,iShares International Fundamental Index Fund (Advisor Units),No
CIF,iShares Global Infrastructure Index Fund,No
CIF.A*,iShares Global Infrastructure Index Fund (Advisor Units),No
CJP,iShares Japan Fundamental Index Fund (CAD-Hedged),No
CJP.A*,iShares Japan Fundamental Index Fund (CAD-Hedged) (Advisor Units),No
CLF,iShares 1-5 Year Laddered Government Bond Index Fund,No
CLF.A*,iShares 1-5 Year Laddered Government Bond Index Fund (Advisor Units),No
CLG,iShares 1-10 Year Laddered Goverment Bond Index Fund,No
CLG.A,iShares 1-10 Year Laddered Goverment Bond Index Fund,No
CLO,iShares Oil Sands Index Fund,No
CLO.A*,iShares Oil Sands Index Fund (Advisor Units),No
CLU,iShares US Fundamental Index Fund,No
CLU.A*,iShares US Fundamental Index Fund (Advisor Units),No
CLU.B,iShares US Fundamental Index Fund,No
CLU.C,iShares US Fundamental Index Fund,No
CMF,iShares Managed Futures Index Fund,No
CMF.A,iShares Managed Futures Index Fund (Advisor Units),No
CMR,iShares Premium Money Market Fund,No
CMR.A*,iShares Premium Money Market Fund (Advisor Units),No
CMW,iShares S&P/TSX Global Mining Index Fund,No
CMW.A*,iShares S&P/TSX Global Mining Index Fund (Advisor Units),No
COW,iShares Global Agriculture Index Fund,Yes
COW.A*,iShares Global Agriculture Index Fund (Advisor Units),No
CPD,iShares S&P/TSX Canadian Preferred Share Index Fund,No
